# This is a comment. Lines starting with # are ignored.

# Add your questions here in the format:

# English Sentence;German Verb;Full German Answer

# --- Verb: sein (to be) ---

I am;sein;ich bin
You are (informal);sein;du bist
He is;sein;er ist
She is;sein;sie ist
It is;sein;es ist
We are;sein;wir sind
You are (plural);sein;ihr seid
They are;sein;sie sind
You are (formal);sein;Sie sind

# --- Verb: haben (to have) ---

I have;haben;ich habe
You have (informal);haben;du hast
He has;haben;er hat
She has;haben;sie hat
It has;haben;es hat
We have;haben;wir haben
You have (plural);haben;ihr habt
They have;haben;sie haben
You have (formal);haben;Sie haben

# --- Verb: werden (to become) ---

I am becoming;werden;ich werde
You are becoming (informal);werden;du wirst
He is becoming;werden;er wird
We are becoming;werden;wir werden
You are becoming (plural);werden;ihr werdet
They are becoming;werden;sie werden

# --- Verb: können (can, to be able to) ---

I can;können;ich kann
You can (informal);können;du kannst
He can;können;er kann
We can;können;wir können
You can (plural);können;ihr könnt
They can;können;sie können

# --- Verb: müssen (must, to have to) ---

I must;müssen;ich muss
You must (informal);müssen;du musst
He must;müssen;er muss
We must;müssen;wir müssen
You must (plural);müssen;ihr müsst
They must;müssen;sie müssen

# --- Verb: sagen (to say) ---

I say;sagen;ich sage
You say (informal);sagen;du sagst
He says;sagen;er sagt
We say;sagen;wir sagen
You say (plural);sagen;ihr sagt
They say;sagen;sie sagen

# --- Verb: machen (to do, make) ---

I make;machen;ich mache
You make (informal);machen;du machst
He makes;machen;er macht
We make;machen;wir machen
You make (plural);machen;ihr macht
They make;machen;sie machen

# --- Verb: geben (to give) ---

I give;geben;ich gebe
You give (informal);geben;du gibst
He gives;geben;er gibt
We give;geben;wir geben
You give (plural);geben;ihr gebt
They give;geben;sie geben

# --- Verb: kommen (to come) ---

I come;kommen;ich komme
You come (informal);kommen;du kommst
He comes;kommen;er kommt
We come;kommen;wir kommen
You come (plural);kommen;ihr kommt
They come;kommen;sie kommen

# --- Verb: sollen (should, ought to) ---

I should;sollen;ich soll
You should (informal);sollen;du sollst
He should;sollen;er soll
We should;sollen;wir sollen
You should (plural);sollen;ihr sollt
They should;sollen;sie sollen

# --- Verb: wollen (to want) ---

I want;wollen;ich will
You want (informal);wollen;du willst
He wants;wollen;er will
We want;wollen;wir wollen
You want (plural);wollen;ihr wollt
They want;wollen;sie wollen

# --- Verb: gehen (to go) ---

I go;gehen;ich gehe
You go (informal);gehen;du gehst
He goes;gehen;er geht
We go;gehen;wir gehen
You go (plural);gehen;ihr geht
They go;gehen;sie gehen

# --- Verb: wissen (to know) ---

